idV,tidV,nombre,correo,vendedor
1000004001,ce,Erma Allden,ven1@hotmail.com,ven1
1000004002,ce,Chloette Blodg,ven2@hotmail.com,ven2
1000004003,ce,Marlie Kleinpeltz,ven3@hotmail.com,ven3
1000004004,ce,Merridie Velde,ven4@hotmail.com,ven4
1000004005,ce,Jacobo Weathers,ven5@hotmail.com,ven5
1000004006,ce,Ginny Blanking,ven6@hotmail.com,ven6
1000004007,ce,Vick Impson,ven7@hotmail.com,ven7
1000004008,ce,Bethena Capron,ven8@hotmail.com,ven8
1000004009,ce,Eldridge Sayward,ven9@hotmail.com,ven9
1000004010,ce,Brice Stoddard,ven10@hotmail.com,ven10
1000004011,ce,Micah Hengoed,ven11@hotmail.com,ven11
1000004012,ce,Koral Bristowe,ven12@hotmail.com,ven12
1000004013,ce,Rene Minnock,ven13@hotmail.com,ven13
1000004014,ce,Roxi Ohrt,ven14@hotmail.com,ven14
1000004015,ce,Jo ann Teaz,ven15@hotmail.com,ven15
1000004016,ce,Putnem Parnby,ven16@hotmail.com,ven16
1000004017,ce,Rosabella Kearley,ven17@hotmail.com,ven17
1000004018,ce,Wilhelmina Daniels,ven18@hotmail.com,ven18
1000004019,ce,Bennett Lettington,ven19@hotmail.com,ven19
1000004020,ce,Waverly Flannigan,ven20@hotmail.com,ven20
1000004021,ce,Lissy Casseldine,ven21@hotmail.com,ven21
1000004022,ce,Shepperd Leggitt,ven22@hotmail.com,ven22
1000004023,ce,Valerie Finlaison,ven23@hotmail.com,ven23
1000004024,ce,Terese Zupo,ven24@hotmail.com,ven24
1000004025,ce,Vinny Goodey,ven25@hotmail.com,ven25
1000004026,ce,Jana Morfey,ven26@hotmail.com,ven26
1000004027,ce,Alex Cammack,ven27@hotmail.com,ven27
1000004028,ce,Hamel Romain,ven28@hotmail.com,ven28
1000004029,ce,Tamera Mattschas,ven29@hotmail.com,ven29
1000004030,ce,Shaylyn Jimeno,ven30@hotmail.com,ven30
1000004031,ce,Maurene Dyster,ven31@hotmail.com,ven31
1000004032,ce,Myron Stubbley,ven32@hotmail.com,ven32
1000004033,ce,Cathrine Issac,ven33@hotmail.com,ven33
1000004034,ce,Lanita Hufton,ven34@hotmail.com,ven34
1000004035,ce,Gillie Waywell,ven35@hotmail.com,ven35
1000004036,ce,Jacenta Kos,ven36@hotmail.com,ven36
1000004037,ce,Harrie Darbey,ven37@hotmail.com,ven37
1000004038,ce,Sindee Astall,ven38@hotmail.com,ven38
1000004039,ce,Ermentrude Voss,ven39@hotmail.com,ven39
1000004040,ce,Verne Phelp,ven40@hotmail.com,ven40
1000004041,ce,Britteny Etchell,ven41@hotmail.com,ven41
1000004042,ce,Mathilde Leneham,ven42@hotmail.com,ven42
1000004043,ce,Sallee Leifer,ven43@hotmail.com,ven43
1000004044,ce,Keir Casaroli,ven44@hotmail.com,ven44
1000004045,ce,Adamo Carletti,ven45@hotmail.com,ven45
1000004046,ce,Ree McCosker,ven46@hotmail.com,ven46
1000004047,ce,Dorian Heads,ven47@hotmail.com,ven47
1000004048,ce,Irving Kiddell,ven48@hotmail.com,ven48
1000004049,ce,Olympia Aitchison,ven49@hotmail.com,ven49
1000004050,ce,Skipton de Najera,ven50@hotmail.com,ven50
1000004051,ce,Samaria Plows,ven51@hotmail.com,ven51
1000004052,ce,Lonnie Carslake,ven52@hotmail.com,ven52
1000004053,ce,Katrina Forte,ven53@hotmail.com,ven53
1000004054,ce,Maryrose Carcas,ven54@hotmail.com,ven54
1000004055,ce,Georgette Deverose,ven55@hotmail.com,ven55
1000004056,ce,Artur Elnough,ven56@hotmail.com,ven56
1000004057,ce,Jeralee Crannach,ven57@hotmail.com,ven57
1000004058,ce,Faye Rewbottom,ven58@hotmail.com,ven58
1000004059,ce,Tedra Paradis,ven59@hotmail.com,ven59
1000004060,ce,Florenza Presdie,ven60@hotmail.com,ven60
1000004061,ce,Tandy Kentwell,ven61@hotmail.com,ven61
1000004062,ce,Auria Wheatman,ven62@hotmail.com,ven62
1000004063,ce,Vladamir Mourant,ven63@hotmail.com,ven63
1000004064,ce,Hollis Sor,ven64@hotmail.com,ven64
1000004065,ce,Mireille Thow,ven65@hotmail.com,ven65
1000004066,ce,Sada MacAloren,ven66@hotmail.com,ven66
1000004067,ce,Cosmo Baseggio,ven67@hotmail.com,ven67
1000004068,ce,Abner Vennard,ven68@hotmail.com,ven68
1000004069,ce,Lorenza Rosendale,ven69@hotmail.com,ven69
1000004070,ce,Caressa Icke,ven70@hotmail.com,ven70
1000004071,ce,Clarie Wyrill,ven71@hotmail.com,ven71
1000004072,ce,Sarina Lesley,ven72@hotmail.com,ven72
1000004073,ce,Agneta Ramme,ven73@hotmail.com,ven73
1000004074,ce,Miner Lovemore,ven74@hotmail.com,ven74
1000004075,ce,Austin Kyttor,ven75@hotmail.com,ven75
1000004076,ce,Herb Summons,ven76@hotmail.com,ven76
1000004077,ce,Ester Gaynes,ven77@hotmail.com,ven77
1000004078,ce,Kassey Calbrathe,ven78@hotmail.com,ven78
1000004079,ce,Mead Williams,ven79@hotmail.com,ven79
1000004080,ce,Boote Hair,ven80@hotmail.com,ven80
1000004081,ce,Almira Kochs,ven81@hotmail.com,ven81
1000004082,ce,Osmond Huitson,ven82@hotmail.com,ven82
1000004083,ce,Ring Pearmine,ven83@hotmail.com,ven83
1000004084,ce,Gavin Treleaven,ven84@hotmail.com,ven84
1000004085,ce,Lamar Klasen,ven85@hotmail.com,ven85
1000004086,ce,Selia Watt,ven86@hotmail.com,ven86
1000004087,ce,Crysta Ousbie,ven87@hotmail.com,ven87
1000004088,ce,Rem Warfield,ven88@hotmail.com,ven88
1000004089,ce,Cristi Tims,ven89@hotmail.com,ven89
1000004090,ce,Irwin Izhakov,ven90@hotmail.com,ven90
1000004091,ce,Erna Lambricht,ven91@hotmail.com,ven91
1000004092,ce,Kristal Scully,ven92@hotmail.com,ven92
1000004093,ce,Pieter Chieze,ven93@hotmail.com,ven93
1000004094,ce,Clovis Girardini,ven94@hotmail.com,ven94
1000004095,ce,Amelia Reagan,ven95@hotmail.com,ven95
1000004096,ce,Terri-jo Ferrier,ven96@hotmail.com,ven96
1000004097,ce,Zarla Pandya,ven97@hotmail.com,ven97
1000004098,ce,Lois Dibner,ven98@hotmail.com,ven98
1000004099,ce,Gib McGlew,ven99@hotmail.com,ven99
1000004100,ce,Lilas Hussey,ven100@hotmail.com,ven100
1000004101,ce,Randie Norsister,ven101@hotmail.com,ven101
1000004102,ce,Evelin Charsley,ven102@hotmail.com,ven102
1000004103,ce,Adora De Avenell,ven103@hotmail.com,ven103
1000004104,ce,Akim Mayward,ven104@hotmail.com,ven104
1000004105,ce,Francesca Fetters,ven105@hotmail.com,ven105
1000004106,ce,Nita Van der Linde,ven106@hotmail.com,ven106
1000004107,ce,Aylmar Durdle,ven107@hotmail.com,ven107
1000004108,ce,Bonita Heam,ven108@hotmail.com,ven108
1000004109,ce,Joaquin Powling,ven109@hotmail.com,ven109
1000004110,ce,Harriott Stainton,ven110@hotmail.com,ven110
1000004111,ce,Craggy Kidsley,ven111@hotmail.com,ven111
1000004112,ce,Keslie Labbet,ven112@hotmail.com,ven112
1000004113,ce,Kipp Dahlborg,ven113@hotmail.com,ven113
1000004114,ce,Cordula Ransome,ven114@hotmail.com,ven114
1000004115,ce,Darcie Sillito,ven115@hotmail.com,ven115
1000004116,ce,Ricoriki Routley,ven116@hotmail.com,ven116
1000004117,ce,Siusan Snellman,ven117@hotmail.com,ven117
1000004118,ce,Kin Siderfin,ven118@hotmail.com,ven118
1000004119,ce,Shurlocke De Caroli,ven119@hotmail.com,ven119
1000004120,ce,Elijah Najara,ven120@hotmail.com,ven120
1000004121,ce,Michaeline Hitzschke,ven121@hotmail.com,ven121
1000004122,ce,Lotti Vanshin,ven122@hotmail.com,ven122
1000004123,ce,Cassie Sommerly,ven123@hotmail.com,ven123
1000004124,ce,Tamas Docksey,ven124@hotmail.com,ven124
1000004125,ce,Kelsey Melsome,ven125@hotmail.com,ven125
1000004126,ce,Stefa Pattrick,ven126@hotmail.com,ven126
1000004127,ce,Fayre Petchell,ven127@hotmail.com,ven127
1000004128,ce,Sisile Alday,ven128@hotmail.com,ven128
1000004129,ce,Kassandra Cuttings,ven129@hotmail.com,ven129
1000004130,ce,Axe Pettit,ven130@hotmail.com,ven130
1000004131,ce,Sophi Legging,ven131@hotmail.com,ven131
1000004132,ce,Thea Akker,ven132@hotmail.com,ven132
1000004133,ce,Launce McLurg,ven133@hotmail.com,ven133
1000004134,ce,Brande Rolls,ven134@hotmail.com,ven134
1000004135,ce,Orsola Ramelot,ven135@hotmail.com,ven135
1000004136,ce,Hart Pridmore,ven136@hotmail.com,ven136
1000004137,ce,Laird Fuzzard,ven137@hotmail.com,ven137
1000004138,ce,Laura Clorley,ven138@hotmail.com,ven138
1000004139,ce,Elaina Souten,ven139@hotmail.com,ven139
1000004140,ce,Louis Depke,ven140@hotmail.com,ven140
1000004141,ce,Breanne Stern,ven141@hotmail.com,ven141
